Name,Adress,type,rate,count comment,order
زرین مشرق زمین,خیابان امام,فست فود,3.78,83,1660
رستوران شهرزاد,خیابان امام,رستوران و تهیه غذا,3.84,93,1860
رستوران گیلانی,خیابان امام,رستوران و تهیه غذا,3.78,32,640
رویال زیتون,میدان بسیج,فست فود,3.77,72,1440
گرین فود,خیابان مدرس,فست فود,4.02,46,920
اژدر زاپاتا,خیابان آیت الله صدر,فست فود,3.64,44,880
کباب بره سفید,میدان شهدا,رستوران و تهیه غذا,4.07,24,480
ساندویچ بهنوش,خیابان طالقانی,فست فود,3.52,31,620
رستوران آب و آتش,خیابان مطهری,رستوران و تهیه غذا,3.13,32,640
کباب بره صوفیا,بلوار طالقانی,رستوران و تهیه غذا,4.05,40,800
گلتابه,خیابان ابوذر,فست فود,4.31,25,500
پیتزا و کنتاکی تابه تا,بلوار طالقانی,فست فود,3.33,27,540
کنج گلستان,سینما گلستان امین,فست فود,3.74,10,200
ویچ لند,ابوذر 33,"فست فود,کافه وصبحانه",3.74,20,400
فست فود داژو,خیابان ابوذر,فست فود,3.87,24,480
نوژان,عمارت گلستان امین,فست فود,4.19,7,140
دنیای مزه,بلوار طالقانی,رستوران و تهیه غذا,3.66,14,280
الکا دونر,خیابان امام,فست فود,4.08,18,360
فست فود چی,بلوار طالقانی,فست فود,3.3,25,500
سوخاری چاکوچ,خیابان مدرس جنوبی,فست فود,3.75,11,220
ساندویچ  پیتزا کنتاکی زیره,خیابان مدرس شمالی,فست فود,4.22,10,200
رستوران همیشه بهار,خیابان غفاری,رستوران و تهیه غذا,3.29,11,220
عمارت خاتون,خیابان انصاری,رستوران و تهیه غذا,3.29,12,240
شولی شاپ,بلوار طالقانی,"رستوران و تهیه غذا,کافه وصبحانه",4.33,10,200
خانه برگر,خیابان بنفشه,فست فود,3.83,14,280
تاپ تنور,خیابان ابوذر,فست فود,3.86,11,220
هات لقمه,خیابان عدالت,فست فود,3.24,4,80
فست فود پلازا,مصطفی خمینی,فست فود,3.93,9,180
دهکده غذا,خیابان امام علی,رستوران و تهیه غذا,3.24,12,240
پورتلند,بلوار جمهوری,فست فود,4.18,13,260
بیرون بر عمو عسکر,خیابان مطهری,رستوران و تهیه غذا,3,2,40
فست فود کندز (قلعه قدیمی),خیابان کارگر,فست فود,3.76,3,60
فست فود سیرین,خیابان طالقانی,فست فود,3.86,6,120
بیرون بر زرین,شهرک فرهنگیان,رستوران و تهیه غذا,3.38,9,180
آیس پک,بلوار جمهوری,"فست فود,آبمیوه و بستنی",4.85,10,200
فست فود امپراتور,بلوار  طالقانی,فست فود,4.27,11,220
جیم فود,خیابان جانبازان,فست فود,5,5,100
